# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-15T11:53:16-07:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	1	6737.00	1.41
0	1	0	5	21020.67	19.57
0	1	0	10	23156.00	1.41
0	1	0	15	23153.33	4.92
0	1	0	20	23151.67	2.05
0	1	0	25	23159.33	0.47
0	1	5	1	12828.67	16.13
0	1	5	5	23149.33	0.47
0	1	5	10	23140.00	2.83
0	1	5	15	23148.67	4.03
0	1	5	20	23149.67	1.25
0	1	5	25	23156.00	2.16
0	1	10	1	14289.00	156.60
0	1	10	5	23143.00	3.74
0	1	10	10	21858.67	1829.07
0	1	10	15	23144.00	1.41
0	1	10	20	23145.00	2.83
0	1	10	25	23142.67	1.25
0	1	15	1	15154.67	78.83
0	1	15	5	23142.33	5.25
0	1	15	10	23139.33	2.87
0	1	15	15	23146.00	4.90
0	1	15	20	23143.00	5.35
0	1	15	25	23144.67	1.25
0	1	20	1	15407.33	34.02
0	1	20	5	23141.33	6.02
0	1	20	10	23149.67	4.03
0	1	20	15	23148.00	2.94
0	1	20	20	23148.00	2.45
0	1	20	25	23144.00	2.94
0	1	25	1	15560.00	41.16
0	1	25	5	23147.33	0.94
0	1	25	10	23151.67	1.89
0	1	25	15	23149.67	2.49
0	1	25	20	23151.67	0.47
0	1	25	25	23150.67	4.99
0	2	0	1	11822.67	15.86
0	2	0	5	23099.33	6.94
0	2	0	10	23098.00	4.24
0	2	0	15	23104.00	4.08
0	2	0	20	23101.33	2.62
0	2	0	25	23101.67	1.70
0	2	5	1	21918.33	20.89
0	2	5	5	23105.67	0.94
0	2	5	10	23104.33	4.11
0	2	5	15	23095.33	4.50
0	2	5	20	23105.00	5.10
0	2	5	25	23102.00	3.74
0	2	10	1	22876.67	6.60
0	2	10	5	23101.67	1.25
0	2	10	10	23103.67	1.70
0	2	10	15	23100.33	9.03
0	2	10	20	23104.33	1.70
0	2	10	25	23109.33	0.47
0	2	15	1	22883.33	18.15
0	2	15	5	23101.00	5.66
