# Network Device Information (via lshw)
# ========================================
# description: Ethernet interface
# product: MT27710 Family [ConnectX-4 Lx]
# vendor: Mellanox Technologies
# physical id: 0.1
# bus info: pci@0000:03:00.1
# logical name: ens1f1
# version: 00
# serial: 9c:dc:71:5d:51:d1
# capacity: 25Gbit/s
# width: 64 bits
# clock: 33MHz
# capabilities: pciexpress vpd msix pm bus_master cap_list ethernet physical 1000bt-fd 10000bt-fd 25000bt-fd autonegotiation
# configuration: autonegotiation=off broadcast=yes driver=mlx5_core driverversion=5.0-0 duplex=full firmware=14.18.2030 (HP_2420110034) ip=10.10.1.1 latency=0 link=yes multicast=yes
# resources: irq:17 memory:96000000-97ffffff memory:39ffef00000-39fff6fffff
#
# Device speed: 25000 Mbit/s
# Device mtu: 1500 bytes
# Device tx_queue_len: 1000
# ========================================
#
# CPU Information
# ========================================
# cpu0: socket 0, 3400000 KHz
# cpu1: socket 0, 3400000 KHz
# cpu2: socket 0, 3400000 KHz
# cpu3: socket 0, 3400000 KHz
# cpu4: socket 0, 3400000 KHz
# cpu5: socket 0, 3400000 KHz
# cpu6: socket 0, 3400000 KHz
# cpu7: socket 0, 3400000 KHz
# cpu8: socket 0, 3400000 KHz
# cpu9: socket 0, 3400000 KHz
# cpu10: socket 0, 3400000 KHz
# cpu11: socket 0, 3400000 KHz
# cpu12: socket 0, 3400000 KHz
# cpu13: socket 0, 3400000 KHz
# cpu14: socket 0, 3400000 KHz
# cpu15: socket 0, 3400000 KHz
# cpu16: socket 0, 3400000 KHz
# cpu17: socket 0, 3400000 KHz
# cpu18: socket 0, 3400000 KHz
# cpu19: socket 0, 3400000 KHz
# ========================================
#
# Memory Information
# ========================================
# Node 0 MemTotal:       65737884 kB
# ========================================
#
# Start of test: 2020-11-18T01:53:31-07:00

"DELAY (ns)"	THREADS	CLONE_SKB	BURST	"THROUGHPUT (Mb/sec)"	STD
0	1	0	5	23817.00	7.35
0	2	0	5	23798.67	2.05
0	3	0	5	23800.00	4.55
0	4	0	5	23816.67	21.48
0	5	0	5	23868.33	2.49
0	6	0	5	23822.00	2.83
0	7	0	5	23880.33	2.49
0	8	0	5	23889.67	10.96
0	9	0	5	23883.33	0.47
0	10	0	5	23883.00	4.24
0	11	0	5	23885.33	2.36
0	12	0	5	23881.67	2.36
0	13	0	5	23904.33	22.57
0	14	0	5	23956.00	2.45
0	15	0	5	23931.33	36.31
0	16	0	5	23961.33	5.44
0	17	0	5	23938.33	15.69
0	18	0	5	23881.67	2.05
0	19	0	5	23924.00	33.48
0	20	0	5	23881.67	2.36
125	1	0	5	23826.33	3.68
125	2	0	5	23812.33	10.40
125	3	0	5	23814.33	11.09
125	4	0	5	23808.33	1.89
125	5	0	5	23867.33	2.36
125	6	0	5	23839.00	11.22
125	7	0	5	23883.00	1.41
125	8	0	5	23880.00	0.00
125	9	0	5	23879.67	3.77
125	10	0	5	23884.67	6.60
125	11	0	5	23885.00	2.83
125	12	0	5	23885.00	4.08
125	13	0	5	23898.00	18.46
125	14	0	5	23913.00	38.94
125	15	0	5	23923.00	34.32
125	16	0	5	23955.00	15.75
125	17	0	5	23905.67	31.37
125	18	0	5	23890.00	9.20
125	19	0	5	23906.33	33.00
125	20	0	5	23880.00	0.00
250	1	0	5	23821.33	6.13
250	2	0	5	23802.33	1.70
250	3	0	5	23807.33	0.94
250	4	0	5	23810.67	2.49
250	5	0	5	23880.33	5.56
250	6	0	5	23843.33	33.00
250	7	0	5	23883.33	2.62
250	8	0	5	23883.00	4.24
250	9	0	5	23881.67	3.30
250	10	0	5	23891.67	13.12
250	11	0	5	23884.33	2.36
250	12	0	5	23882.33	3.30
250	13	0	5	23899.33	14.70
250	14	0	5	23886.33	4.64
250	15	0	5	23949.67	6.55
250	16	0	5	23931.33	35.12
250	17	0	5	23906.00	33.24
250	18	0	5	23883.00	0.82
250	19	0	5	23927.00	33.95
250	20	0	5	23879.67	0.47
500	1	0	5	23827.00	2.16
500	2	0	5	23807.00	0.82
500	3	0	5	23809.33	1.89
500	4	0	5	23809.33	1.25
500	5	0	5	23884.00	13.44
500	6	0	5	23826.33	2.62
500	7	0	5	23888.67	13.12
500	8	0	5	23880.00	0.00
500	9	0	5	23886.67	3.30
500	10	0	5	23884.67	6.60
500	11	0	5	23887.00	4.90
500	12	0	5	23888.33	0.94
500	13	0	5	23910.67	39.13
500	14	0	5	23901.00	25.46
500	15	0	5	23963.33	5.44
500	16	0	5	23881.00	2.16
500	17	0	5	23933.67	34.41
500	18	0	5	23901.33	24.53
500	19	0	5	23886.67	5.19
500	20	0	5	23900.33	25.38
1000	1	0	5	20479.00	0.00
1000	2	0	5	23802.33	2.62
1000	3	0	5	23803.33	0.94
1000	4	0	5	23812.33	3.68
1000	5	0	5	23869.33	0.94
